Run,Assay Type,Library Name
SRR24836197,miRNA-Seq,GSM7458005
SRR24836198,miRNA-Seq,GSM7458006
SRR24836199,miRNA-Seq,GSM7458007
SRR24836200,miRNA-Seq,GSM7458008
SRR24836201,miRNA-Seq,GSM7458009
SRR24836202,miRNA-Seq,GSM7458011
SRR24836203,miRNA-Seq,GSM7458022
SRR24836204,miRNA-Seq,GSM7458023
SRR24836205,miRNA-Seq,GSM7458010
SRR24836206,miRNA-Seq,GSM7458067
SRR24836207,miRNA-Seq,GSM7458046
SRR24836208,miRNA-Seq,GSM7458068
SRR24836209,miRNA-Seq,GSM7458069
SRR24836210,miRNA-Seq,GSM7458048
SRR24836211,miRNA-Seq,GSM7458071
SRR24836212,miRNA-Seq,GSM7458050
SRR24836213,miRNA-Seq,GSM7458073
SRR24836214,miRNA-Seq,GSM7458052
SRR24836215,miRNA-Seq,GSM7458075
SRR24836216,miRNA-Seq,GSM7458054
SRR24836217,miRNA-Seq,GSM7458072
SRR24836218,miRNA-Seq,GSM7458074
SRR24836219,miRNA-Seq,GSM7458076
SRR24836220,miRNA-Seq,GSM7458078
SRR24836221,miRNA-Seq,GSM7458080
SRR24836222,miRNA-Seq,GSM7458082
SRR24836223,miRNA-Seq,GSM7458045
SRR24836224,miRNA-Seq,GSM7458028
SRR24836225,miRNA-Seq,GSM7458047
SRR24836226,miRNA-Seq,GSM7458029
SRR24836227,miRNA-Seq,GSM7458049
SRR24836228,miRNA-Seq,GSM7458030
SRR24836229,miRNA-Seq,GSM7458051
SRR24836230,miRNA-Seq,GSM7458032
SRR24836231,miRNA-Seq,GSM7458053
SRR24836232,miRNA-Seq,GSM7458034
SRR24836233,miRNA-Seq,GSM7458055
SRR24836234,miRNA-Seq,GSM7458035
SRR24836235,miRNA-Seq,GSM7458015
SRR24836236,miRNA-Seq,GSM7458037
SRR24836237,miRNA-Seq,GSM7458014
SRR24836238,miRNA-Seq,GSM7458039
SRR24836239,miRNA-Seq,GSM7458013
SRR24836240,miRNA-Seq,GSM7458041
SRR24836241,miRNA-Seq,GSM7458012
SRR24836242,miRNA-Seq,GSM7458043
SRR24836243,miRNA-Seq,GSM7458024
SRR24836244,miRNA-Seq,GSM7458077
SRR24836245,miRNA-Seq,GSM7458056
SRR24836246,miRNA-Seq,GSM7458079
SRR24836247,miRNA-Seq,GSM7458058
SRR24836248,miRNA-Seq,GSM7458081
SRR24836249,miRNA-Seq,GSM7458060
SRR24836250,miRNA-Seq,GSM7458083
SRR24836251,miRNA-Seq,GSM7458062
SRR24836252,miRNA-Seq,GSM7458064
SRR24836253,miRNA-Seq,GSM7458066
SRR24836254,miRNA-Seq,GSM7458070
SRR24836255,miRNA-Seq,GSM7458036
SRR24836256,miRNA-Seq,GSM7458057
SRR24836257,miRNA-Seq,GSM7458038
SRR24836258,miRNA-Seq,GSM7458059
SRR24836259,miRNA-Seq,GSM7458040
SRR24836260,miRNA-Seq,GSM7458061
SRR24836261,miRNA-Seq,GSM7458042
SRR24836262,miRNA-Seq,GSM7458063
SRR24836263,miRNA-Seq,GSM7458044
SRR24836264,miRNA-Seq,GSM7458065
SRR24836265,miRNA-Seq,GSM7458026
SRR24836266,miRNA-Seq,GSM7458025
SRR24836267,miRNA-Seq,GSM7458021
SRR24836268,miRNA-Seq,GSM7458027
SRR24836269,miRNA-Seq,GSM7458020
SRR24836270,miRNA-Seq,GSM7458019
SRR24836271,miRNA-Seq,GSM7458018
SRR24836272,miRNA-Seq,GSM7458031
SRR24836273,miRNA-Seq,GSM7458017
SRR24836274,miRNA-Seq,GSM7458033
SRR24836275,miRNA-Seq,GSM7458016
SRR24836330,RNA-Seq,GSM7458117
SRR24836331,RNA-Seq,GSM7458114
SRR24836332,RNA-Seq,GSM7458118
SRR24836333,RNA-Seq,GSM7458119
SRR24836334,RNA-Seq,GSM7458120
SRR24836335,RNA-Seq,GSM7458121
SRR24836336,RNA-Seq,GSM7458122
SRR24836337,RNA-Seq,GSM7458123
SRR24836338,RNA-Seq,GSM7458124
SRR24836339,RNA-Seq,GSM7458125
SRR24836340,RNA-Seq,GSM7458115
SRR24836341,RNA-Seq,GSM7458165
SRR24836342,RNA-Seq,GSM7458156
SRR24836343,RNA-Seq,GSM7458157
SRR24836344,RNA-Seq,GSM7458168
SRR24836345,RNA-Seq,GSM7458169
SRR24836346,RNA-Seq,GSM7458170
SRR24836347,RNA-Seq,GSM7458171
SRR24836348,RNA-Seq,GSM7458166
SRR24836349,RNA-Seq,GSM7458167
SRR24836350,RNA-Seq,GSM7458164
SRR24836351,RNA-Seq,GSM7458109
SRR24836352,RNA-Seq,GSM7458098
SRR24836353,RNA-Seq,GSM7458139
SRR24836354,RNA-Seq,GSM7458140
SRR24836355,RNA-Seq,GSM7458130
SRR24836356,RNA-Seq,GSM7458131
SRR24836357,RNA-Seq,GSM7458141
SRR24836358,RNA-Seq,GSM7458142
SRR24836359,RNA-Seq,GSM7458143
SRR24836360,RNA-Seq,GSM7458144
SRR24836361,RNA-Seq,GSM7458136
SRR24836362,RNA-Seq,GSM7458138
SRR24836363,RNA-Seq,GSM7458108
SRR24836364,RNA-Seq,GSM7458107
SRR24836365,RNA-Seq,GSM7458106
SRR24836366,RNA-Seq,GSM7458105
SRR24836367,RNA-Seq,GSM7458104
SRR24836368,RNA-Seq,GSM7458110
SRR24836369,RNA-Seq,GSM7458111
SRR24836370,RNA-Seq,GSM7458112
SRR24836371,RNA-Seq,GSM7458113
SRR24836372,RNA-Seq,GSM7458155
SRR24836373,RNA-Seq,GSM7458145
SRR24836374,RNA-Seq,GSM7458146
SRR24836375,RNA-Seq,GSM7458158
SRR24836376,RNA-Seq,GSM7458159
SRR24836377,RNA-Seq,GSM7458160
SRR24836378,RNA-Seq,GSM7458161
SRR24836379,RNA-Seq,GSM7458162
SRR24836380,RNA-Seq,GSM7458163
SRR24836381,RNA-Seq,GSM7458116
SRR24836382,RNA-Seq,GSM7458127
SRR24836383,RNA-Seq,GSM7458128
SRR24836384,RNA-Seq,GSM7458129
SRR24836385,RNA-Seq,GSM7458132
SRR24836386,RNA-Seq,GSM7458133
