# GOA version used: 2020-10-06
#GO	IC	Frequency
GO:0060547	5.40867945839451	3.902298990814747e-06
GO:0008814	4.4252664336635466	3.756069039458686e-05
GO:0005140	7.407718585048537	3.91094235678747e-08
GO:0007224	4.400604023275928	3.9755386199678684e-05
GO:0009422	8.373154231241813	4.234925441977782e-09
GO:0001576	6.702551748471871	1.9835732895637035e-07
GO:0051650	4.322584169762956	4.757905700140014e-05
GO:1901662	6.285016183736452	5.187807065012762e-07
GO:0097510	6.088141318757479	8.163166999358318e-07
GO:0072621	8.41855509210667	3.814564018391737e-09
GO:0009657	4.351223811898502	4.4542664042760315e-05
GO:0001827	6.422919897509121	3.77641837820782e-07
GO:0030517	5.05157211612882	8.880305034815965e-06
GO:1903746	7.117525096442689	7.629128036783475e-08
GO:0042006	6.827490485080171	1.4876799671727775e-07
GO:0034584	5.6266816464274045	2.362209183499632e-06
GO:0002466	8.41855509210667	3.814564018391737e-09
GO:0060048	4.998764506000308	1.0028488804351878e-05
GO:0014029	5.572217979976865	2.6778239409109996e-06
GO:1904271	6.619214542653088	2.4031753315867947e-07
GO:2000036	5.23986585233108	5.756177103753131e-06
GO:0045972	8.41855509210667	3.814564018391737e-09
GO:0098976	6.440831486817823	3.6238358174721505e-07
GO:0090362	7.41855509210667	3.8145640183917376e-08
GO:2000951	8.41855509210667	3.814564018391737e-09
GO:0046369	8.41855509210667	3.814564018391737e-09
GO:0052897	8.583809844104218	2.60729490452498e-09
GO:0140160	8.583809844104218	2.60729490452498e-09
GO:0045728	6.41855509210667	3.8145640183917375e-07
GO:0086017	8.41855509210667	3.814564018391737e-09
GO:0055096	6.175517043420376	6.67548703218554e-07
GO:1902683	5.552267753022475	2.803704553517927e-06
GO:0004976	8.41855509210667	3.814564018391737e-09
GO:0080164	4.948733076128508	1.1252963854255625e-05
GO:0021652	8.41855509210667	3.814564018391737e-09
GO:2001255	6.130753362176445	7.40025419567997e-07
GO:0003249	8.41855509210667	3.814564018391737e-09
GO:0033156	7.816495100778708	1.5258256073566948e-08
GO:1901373	6.626163402608417	2.3650296914028772e-07
GO:0009164	3.7325448007913846	0.000185120791812551
GO:0015745	8.41855509210667	3.814564018391737e-09
GO:0005085	3.289992236970087	0.0005128705514894907
GO:0061235	8.41855509210667	3.814564018391737e-09
GO:0009681	8.41855509210667	3.814564018391737e-09
GO:1904560	7.7195850877706516	1.9072820091958688e-08
GO:0009247	2.6293249180557927	0.0023478755970121694
GO:0010401	7.076132411284464	8.392040840461823e-08
GO:0001410	7.076132411284464	8.392040840461823e-08
GO:0032626	8.41855509210667	3.814564018391737e-09
GO:0047227	8.583809844104218	2.60729490452498e-09
GO:0002856	6.785086636527084	1.640262527908447e-07
GO:0044219	4.932559969401982	1.1679924368974723e-05
GO:0006446	3.869907753854183	0.00013492494389453415
GO:0072592	6.385131336619721	4.1197291398630764e-07
GO:0061650	4.613928200357718	2.4326061459218066e-05
GO:0110072	7.304611739799833	4.958933223909259e-08
GO:0009660	6.130753362176445	7.40025419567997e-07
GO:0106261	7.542417158945993	2.8680243949774782e-08
GO:0030462	8.583809844104218	2.60729490452498e-09
GO:0034262	8.583809844104218	2.60729490452498e-09
GO:0033910	7.305056243151388	4.953860318597462e-08
GO:0051406	8.583809844104218	2.60729490452498e-09
GO:0018001	8.41855509210667	3.814564018391737e-09
GO:0019647	5.2138925803584515	6.110931557463564e-06
GO:0071683	6.14270530986354	7.19937325136223e-07
GO:0052779	5.292098978674866	5.1038866566081445e-06
GO:1902782	8.41855509210667	3.814564018391737e-09
GO:1990312	8.583809844104218	2.60729490452498e-09
GO:0110093	8.373154231241813	4.234925441977782e-09
GO:0021767	6.130753362176445	7.40025419567997e-07
GO:0030591	8.282779848440237	5.21458980904996e-09
GO:1905261	6.102584746649753	7.896147518070896e-07
GO:0046228	8.117525096442689	7.629128036783474e-09
GO:0006212	4.320361466243382	4.782318909857721e-05
GO:0031520	5.840399852249316	1.4441095757144236e-06
GO:0015968	7.214435109450745	6.103302429426779e-08
GO:0097172	4.317633411785824	4.812453965603016e-05
GO:2000096	5.828605490780963	1.4838654031543858e-06
GO:0042519	8.41855509210667	3.814564018391737e-09
GO:0031246	5.276244218233757	5.293656802472227e-06
GO:1900554	7.816495100778708	1.5258256073566948e-08
GO:0004846	4.6921051678650345	2.031864919096317e-05
GO:0016038	5.792214724731628	1.613560579779705e-06
GO:0048300	8.41855509210667	3.814564018391737e-09
GO:0051257	6.248293376711713	5.645554747219771e-07
GO:0002951	6.851416084281249	1.4079392484434894e-07
GO:0030017	4.74445884852779	1.8011137904731506e-05
GO:0005934	4.934611882455703	1.1624870338229012e-05
GO:0017031	8.373154231241813	4.234925441977782e-09
GO:0033597	5.661347002200622	2.180986602618558e-06
GO:0097350	5.980804529286282	1.045190541039336e-06
GO:0090172	6.694279222505881	2.0217189297476207e-07
GO:1990877	6.657150887607014	2.2021612298284466e-07
GO:0075325	8.41855509210667	3.814564018391737e-09
GO:0002697	3.938217520959386	0.00011528756832785348
GO:0061607	8.583809844104218	2.60729490452498e-09
GO:0061328	6.850353368039675	1.4113886868049428e-07
GO:0006077	4.688661688143433	2.048039421474524e-05
GO:0007012	8.41855509210667	3.814564018391737e-09
GO:0006572	3.9305264066237267	0.00011734743289778501
GO:2001172	7.076132411284464	8.392040840461823e-08
GO:0072520	5.561222595675402	2.746486093242051e-06
GO:0019194	8.583809844104218	2.60729490452498e-09
GO:0004448	3.566425870076563	0.00027137768284257805
GO:0048138	6.163282587003364	6.866215233105127e-07
GO:0048768	6.285016183736452	5.187807065012762e-07
GO:0099186	5.898068105501954	1.2645380286946153e-06
GO:1902402	5.275227962114624	5.306058549582906e-06
GO:0021595	6.373232113320013	4.2341660604148284e-07
GO:0003319	6.104687871737517	7.858001877886979e-07
GO:0071688	5.787111323093498	1.6326333998716636e-06
GO:0046811	7.504628598056593	3.128753885429976e-08
GO:0061754	7.304611739799833	4.958933223909259e-08
GO:2000367	6.321645079098614	4.768205022989672e-07
GO:2000126	8.41855509210667	3.814564018391737e-09
GO:0033462	8.282779848440237	5.21458980904996e-09
GO:0042741	8.41855509210667	3.814564018391737e-09
GO:0018031	8.583809844104218	2.60729490452498e-09
GO:0072546	4.306455680818818	4.937923065346094e-05
GO:0047030	8.583809844104218	2.60729490452498e-09
GO:1900145	6.126299020750194	7.476545476047805e-07
GO:0070268	5.857453708457614	1.3885013026945924e-06
GO:0014857	5.457133998040222	3.4903260768284397e-06
GO:0043790	8.41855509210667	3.814564018391737e-09
GO:0015696	3.2322373960225796	0.0005858178545604927
GO:0008675	4.352238318575802	4.443873435272376e-05
GO:0046438	6.816495100778708	1.525825607356695e-07
GO:0017075	5.149560391707742	7.086627550498896e-06
GO:0061494	8.373154231241813	4.234925441977782e-09
GO:0097592	8.373154231241813	4.234925441977782e-09
GO:0050504	5.960560553706317	1.0950638599004917e-06
GO:0048333	5.38553364742376	4.115914575844685e-06
GO:0016894	3.438865320991337	0.0003640279072748732
GO:0032345	6.254202236322233	5.569263466851936e-07
GO:0047286	6.167169336765936	6.805039700810199e-07
GO:0005503	6.212741981832481	6.127143025633704e-07
GO:0019806	5.843447154609974	1.4340121974887391e-06
GO:0036499	6.144397242842991	7.171380354576466e-07
GO:0061298	5.67036706510047	2.136155850299373e-06
GO:0061157	5.016121745887358	9.635588710457528e-06
GO:1901704	7.304611739799833	4.958933223909259e-08
GO:0035006	5.8100290585294765	1.5487129914670454e-06
GO:1903135	6.116942223750108	7.639374070258192e-07
GO:0048177	8.583809844104218	2.60729490452498e-09
GO:0009140	6.567296743387595	2.7083404530581336e-07
GO:0001765	4.91313376452339	1.2214233986890343e-05
GO:0042134	5.6373575790911445	2.3048486956000823e-06
GO:0008316	7.2413871632820115	5.7360487899549564e-08
GO:1904277	7.941433837387008	1.1443692055175213e-08
GO:0033360	8.41855509210667	3.814564018391737e-09
GO:1904016	6.3357697217902205	4.6156224622540024e-07
GO:0003884	4.469198859872044	3.394697965691524e-05
GO:0006533	6.08410134095574	8.239458279726153e-07
GO:0032591	5.2020130802134315	6.28039443045305e-06
GO:0003064	8.117525096442689	7.629128036783474e-09
GO:0034453	4.5951460772141255	2.5401181798470578e-05
GO:0006963	6.076132411284464	8.392040840461822e-07
